nid,rfx,rfy,rfz
       1.,  0.00000000E+00,  0.00000000E+00,  0.62848831E-10
       2.,  0.00000000E+00,  0.00000000E+00,  0.62848387E-10
       3.,  0.00000000E+00,  0.00000000E+00,  0.62849838E-10
       4.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
       5.,  0.00000000E+00,  0.00000000E+00, -0.16666667E+02
       6.,  0.00000000E+00,  0.00000000E+00, -0.16666667E+02
       7.,  0.00000000E+00,  0.00000000E+00, -0.16666667E+02
       8.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
       9.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
      10.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
      11.,  0.00000000E+00,  0.62831216E-10,  0.00000000E+00
      12.,  0.00000000E+00,  0.62856807E-10,  0.00000000E+00
      13.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
      14.,  0.00000000E+00,  0.62841028E-10,  0.00000000E+00
      15.,  0.00000000E+00, -0.16666667E+02,  0.00000000E+00
      16.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
      17.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
      18.,  0.00000000E+00, -0.16666667E+02,  0.00000000E+00
      19.,  0.00000000E+00, -0.16666667E+02,  0.00000000E+00
      20.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
      21.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
      22., -0.62848889E-10, -0.62816976E-10, -0.62826185E-10
      23., -0.62848889E-10, -0.62822971E-10, -0.62847557E-10
      24., -0.62849434E-10, -0.62861772E-10, -0.62847658E-10
      25.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
      26.,  0.16666667E+02,  0.16666667E+02,  0.16666667E+02
      27.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
      28.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
      29.,  0.16666667E+02,  0.16666667E+02,  0.16666667E+02
      30.,  0.16666667E+02,  0.16666667E+02,  0.16666667E+02
      31.,  0.62848831E-10, -0.18603037E-13, -0.23278300E-13
      32.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
      33.,  0.62848387E-10,  0.18904471E-13,  0.14229208E-13
      34.,  0.62849838E-10, -0.22359673E-13,  0.99925194E-14
      35.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
      36.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
      37., -0.16666667E+02, -0.11841111E-13, -0.97445490E-14
      38., -0.16666667E+02, -0.54826605E-14,  0.13218390E-13
      39.,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
      40., -0.16666667E+02,  0.19043125E-13,  0.37744176E-13
